Standing,Name,Born,Nation,Session,Bodyweight,Snatch,CleanAndJerk,Total
1,TSIKHANTSOU Yauheni,04.11.1998,AIN,A,101.30,181,218,399
2,RUIZ I VELASCO Marcos,13.10.1996,ESP,A,102.00,180,217,397
3,BRATU Tudor,27.09.2002,MDA,A,101.75,176,210,386
4,AGHANYAN Ara,25.05.2000,ARM,A,100.50,175,205,380
5,PETROSYAN Petros,28.11.2002,ARM,A,102.00,165,205,370
6,BURIACHEK Bohdan,11.06.1996,UKR,A,102.00,170,195,365
7,YANTSEVYCH Yevhenii,26.09.2000,UKR,A,102.00,166,195,361
8,CIOBANU Tudor,27.02.1999,MDA,A,101.80,156,196,352
9,DIAKOVASILIS Jacob Alexander P.,30.10.1996,DEN,B,101.37,147,194,341
10,SIDISKIS Arnas,05.07.1990,LTU,B,101.35,152,188,340
11,HOUSEN Seppe,18.03.1997,BEL,B,102.00,136,185,321
12,SMAJIC Dino,05.07.1997,BIH,B,100.45,150,170,320
13,OSTROVSKY Viktor,27.01.1995,SVK,B,98.25,137,173,310
14,DALE Dino,19.10.2001,CRO,B,100.50,0,162,0
15,DARVILLE Simon Kastbjerg,26.06.1993,DEN,B,101.60,145,0,0
16,SAWULSKI Patryk,19.11.2001,POL,A,96.50,0,0,0
